Gene selection via discretized gene-expression profiles and greedy feature-elimination,George Potamias; Lefteris Koumakis; Vassilis Moustakis,Abstract Analysis and interpretation of gene-expression profiles; and the identification ofrespective molecular-or; gene-markers is the key towards the understanding of the geneticbasis of major diseases. The problem is challenging because of the huge number of genes(thousands to tenths of thousands!) and the small number of samples (about 50 to 100cases). In this paper we present a novel gene-selection methodology; based on thediscretization of the continuous gene-expression values. With a specially devised gene-ranking metric we measure the strength of each gene with respect to its power todiscriminate between sample categories. Then; a greedy feature-elimination algorithm isapplied on the rank-ordered genes to form the final set of selected genes. Unseen samplesare classified according to a specially devised prediction/matching metric. The …,Hellenic Conference on Artificial Intelligence,2004,47
Modeling susceptibility to periodontitis,ML Laine; V Moustakis; L Koumakis; G Potamias; BG Loos,Chronic inflammatory diseases like periodontitis have a complex pathogenesis and amultifactorial etiology; involving complex interactions between multiple genetic loci andinfectious agents. We aimed to investigate the influence of genetic polymorphisms andbacteria on chronic periodontitis risk. We determined the prevalence of 12 single-nucleotidepolymorphisms (SNPs) in immune response candidate genes and 7 bacterial species ofpotential relevance to periodontitis etiology; in chronic periodontitis patients and non-periodontitis control individuals (N= 385). Using decision tree analysis; we identified thepresence of bacterial species Tannerella forsythia; Porphyromonas gingivali s;Aggregatibacter actinomycetemcomitans; and SNPs TNF-857 and IL-1A-889 asdiscriminators between periodontitis and non-periodontitis. The model reached an …,Journal of dental research,2013,46
A systematic review of predictive risk models for diabetes complications based on large scale clinical studies,Vincenzo Lagani; Lefteris Koumakis; Franco Chiarugi; Edin Lakasing; Ioannis Tsamardinos,Abstract This work presents a systematic review of long-term risk assessment models forevaluating the probability of developing complications in diabetes patients. Diabetesmellitus can cause many complications if not adequately controlled; risk assessment modelscan help physicians and patients in identifying the complications most likely to arise and intaking the necessary countermeasures. We identified six large medical studies related todiabetes mellitus upon which current available risk assessment models are built on; allthese studies had duration over 5years and most of them included some commondemographic and clinical data strongly related to diabetic complications. The most commonpredictions for long term diabetes complications are related to cardiovascular diseases anddiabetic retinopathy. Our analysis of the literature led us to the conclusion that …,Journal of Diabetes and its Complications,2013,33
Smart recommendation services in support of patient empowerment and personalized medicine,Haridimos Kondylakis; Lefteris Koumakis; Manolis Tsiknakis; Kostas Marias; Eirini Genitsaridi; Gabriella Pravettoni; Alessandra Gorini; Ketti Mazzocco,Abstract Medicine is undergoing a revolution that is transforming the nature of healthcarefrom reactive to preventive. The changes are catalyzed by a new systems approach todisease which focuses on integrated diagnosis; treatment and prevention of disease inindividuals. This will replace our current mode of medicine over the coming years with apersonalized predictive treatment. While the goal is clear; the path is fraught withchallenges. The p-medicine EU project aspires to create an infrastructure that will facilitatethis translation from current medical practice to personalized medicine. This Chapter focuson current research activities related to the design and implementation of an intelligentpatient empowerment platform and its services. The focus of our work concerns the nature ofthe interaction between health institutions and individuals; particularly the communicative …,*,2013,21
Evaluation of personal health record systems through the lenses of EC research projects,Irini Genitsaridi; Haridimos Kondylakis; Lefteris Koumakis; Kostas Marias; Manolis Tsiknakis,Abstract Personal health record (PHR) systems are a rapidly expanding area in the field ofhealth information technology which motivates an ongoing research towards their evaluationin several different aspects. In this direction; we present a systematic review of the currentlyavailable PHR systems. Initially; we define a clear and concise set of requirements forefficient PHR systems which is based on real-world implementation experiences of severalEuropean research projects and also on established and widely used formal standards.Subsequently; these requirements are used to perform a systematic evaluation of existingPHR system implementations. Our evaluation study provides a thorough requirementanalysis and an insight on the current status of personal health record systems. The resultsof the present work can therefore be used as a basis for future evaluation studies which …,Computers in biology and medicine,2015,20
Towards intelligent personal health record systems: Review; Criteria and extensions,Irini Genitsaridi; Haridimos Kondylakis; Lefteris Koumakis; Kostas Marias; Manolis Tsiknakis,Abstract Personal health record (PHR) systems are a constantly evolving area in the field ofhealth information technology which motivates an ongoing research towards their evaluationin several different aspects. In this direction; we present an evaluation study on PHRsystems that provides an insight on their current status with regard to functional andtechnical capabilities and we present our extensions to a specific PHR system. Essentially;we provide a requirement analysis that formulates our composite evaluation model whichwe use to perform a systems review on numerous available solutions. Then; we present ourdevelopment efforts towards an intelligent PHR system.,Procedia Computer Science,2013,18
Development of interactive empowerment services in support of personalised medicine,Haridimos Kondylakis; Eleni Kazantzaki; Lefteris Koumakis; Irini Genitsaridi; Kostas Marias; Alessandra Gorini; Ketti Mazzocco; Gabriella Pravettoni; Danny Burke; Gordon McVie; Manolis Tsiknakis,Abstract In an epoch where shared decision making is gaining importance; a patient'scommitment to and knowledge about his/her health condition is becoming more and morerelevant. Health literacy is one of the most important factors in enhancing the involvement ofpatients in their care. Nevertheless; other factors can impair patient processing andunderstanding of health information: psychological aspects and cognitive style may affectthe way patients approach; select; and retain information. This paper describes thedevelopment and validation of a short and easy to fill-out questionnaire that measures andcollects psycho-cognitive information about patients; named ALGA-C. ALGA-C is amultilingual; multidevice instrument; and its validation was carried out in healthy people andbreast cancer patients. In addition to the aforementioned questionnaire; a patient profiling …,ecancermedicalscience,2014,15
IEmS: A collaborative environment for patient empowerment,Haridimos Kondylakis; Lefteris Koumakis; Eirini Genitsaridi; Manolis Tsiknakis; Kostas Marias; Gabriella Pravettoni; Alessandra Gorini; Ketti Mazzocco,Personalized medicine refers to the tailoring of treatment to the individual characteristics of apatient. Part of the personalized medicine is the patient profiling and the communicativerelation between physician and patient. The ways of exchanging information; the nature ofthe information itself and the information assimilation capabilities of the patient can assist thephysicians to have a better understanding. Taking advantage of these information sources; asmart environment could be implemented. This environment will be able to act as a decisionsupport infrastructure to support the communication; interaction and information deliveryprocess from the doctor to the patient. A prerequisite of personalized delivery of informationand intelligent guidance of the patient into his/her treatment plans is our ability to develop anappropriate and accurate profile of the patient. In this paper we present a collaborative …,Bioinformatics & Bioengineering (BIBE); 2012 IEEE 12th International Conference on,2012,15
Web-based authoring and secure enactment of bioinformatics workflows,Stelios Sfakianakis; Lefteris Koumakis; George Zacharioudakis; Manolis Tsiknakis,The recent advances in the field of bioinformatics present a number of challenges in thesecure and efficient management and analysis of biological data resources. Workflowtechnologies aim to assist scientists and domain experts in the design of complex; longrunning; data and computing intensive experiments that involve many data processing andanalysis tasks. In this paper we present a bioinformatics workflow authoring and executionenvironment that intends to greatly facilitate the whole lifecycle of such experiments. Themain contributions of this work are a web based; easy to use; graphical workflow designerand a BPEL compliant execution environment. The ethical and security requirements whendealing with sensitive personal data that are inherent in the field of bioinformatics imposethe introduction of “credentials delegation” in the workflow execution and we describe its …,Grid and Pervasive Computing Conference; 2009. GPC'09. Workshops at the,2009,15
Coupling regulatory networks and microarays: revealing molecular regulations of breast cancer treatment responses,Lefteris Koumakis; Vassilis Moustakis; Michalis Zervakis; Dimitris Kafetzopoulos; George Potamias,Abstract Moving towards the realization of genomic data in clinical practice; and following anindividualized healthcare approach; the function and regulation of genes has to bedeciphered and manifested. Two of the most significant forms of molecular data come formmicroarray gene expression sources; and gene interactions sources–as encoded in GeneRegulatory Networks (GRNs). The usual computational task is the gene selection procedurewith the GRNs to be mainly utilized for annotation and enrichment purposes. In this study wepresent a novel perception of these resources. Initially we locate all functional path-modulesencoded in GRNs and we try to assess which of them are compatible and match the gene-expression profiles of samples that belong to different phenotypes. The differential power ofthe selected path-modules is computed and their biological relevance is assessed. The …,Hellenic Conference on Artificial Intelligence,2012,12
Patient Empowerment through Personal Medical Recommendations.,Haridimos Kondylakis; Lefteris Koumakis; Eleni Kazantzaki; Maria Chatzimina; Maria Psaraki; Kostas Marias; Manolis Tsiknakis,Abstract Patients today have ample opportunities to inform themselves in the internet abouttheir disease and possible treatments. While this type of patient empowerment is widelyregarded as having a positive influence on the treatment; there exists the problem that thequality of information that can be found on online is very diverse. This paper presents aplatform which empowers patients in two ways: First it allows searching in a high qualitydocument repository; and secondly it automatically provides intelligent and personalizedrecommendations; according to the individual preferences and medical conditions. To thebest of our knowledge our platform is the only one which combines a search engine withautomatic recommendations exploiting indivudual patient profiles and preferences.,MedInfo,2015,11
Mining XML Clinical Data: the HealthObs System.,George Potamias; Lefteris Koumakis; Vassilis Moustakis,ABSTRACT: A seamless clinical data integration and intelligent processing environment ispresented; namely; the HealthObs system. HealthObs; and in particular its knowledgediscovery component; aims towards the discovery of interesting associations from distributedand heterogeneous clinical information systems. HealthObs contributes to the semanticintegration of patient health data stored across multiple sources. The system incorporatesAssociation Rule Mining (ARM) operations; which operate on top of XML documents. Arealworld case study; based on mining across patient records in the region of demonstratesthe effectiveness; efficiency and reliability of the proposed approach and system.,Ingénierie des systèmes d'information,2005,11
Enhancing web based services by coupling document classification with user profile,George Potamias; Lefteris Koumakis; Vassilis S Moustakis,Current Web search engines are not able to adapt their operations to the evolving needs;interests and preferences of the users. To cope with this weakness; we developed a systemable to classify HTML (or; XML) documents into user prespecified categories of interests.The system processes the user current profile and a set of representative documents-foreach category of interest; and produces a classification schema-presented as a set ofrepresentative category vectors. The classification schema is then utilized in order to classifynew incoming Web documents to one (or; more) of the prespecified categories of interestand; furthermore; provides the basis to update user profile characteristics. We demonstrateeffectiveness of the proposed approach via experimental results based on two indicativecollections of documents,Computer as a Tool; 2005. EUROCON 2005. The International Conference on,2005,7
Radiogenomics monitoring in breast cancer identifies metabolism and immune checkpoints as early actionable mechanisms of resistance to anti-angiogenic treatment,Shaveta Mehta; Nick P Hughes; Sonia Li; Adrian Jubb; Rosie Adams; Simon Lord; Lefteris Koumakis; Ruud van Stiphout; Anwar Padhani; Andreas Makris; Francesca M Buffa; Adrian L Harris,Abstract Anti-VEGF antibody bevacizumab has prolonged progression-free survival inseveral cancer types; however acquired resistance is common. Adaption has been observedpre-clinically; but no human study has shown timing and genes involved; enablingformulation of new clinical paradigms. In a window-of-opportunity study in 35 ductal breastcancer patients for 2weeks prior to neoadjuvant chemotherapy; we monitored bevacizumabresponse by Dynamic Contrast-Enhanced Magnetic Resonance [DCE-MRI]; transcriptomicand pathology. Initial treatment response showed significant overall decrease in DCE-MRImedian K trans; angiogenic factors such ESM1 and FLT1; and proliferation. However; it alsorevealed great heterogeneity; spanning from downregulation of blood vessel density andcentral necrosis to continued growth with new vasculature. Crucially; significantly …,EBioMedicine,2016,6
Semantic biomedical resource discovery: a Natural Language Processing framework,Pepi Sfakianaki; Lefteris Koumakis; Stelios Sfakianakis; Galatia Iatraki; Giorgos Zacharioudakis; Norbert Graf; Kostas Marias; Manolis Tsiknakis,A plethora of publicly available biomedical resources do currently exist and are constantlyincreasing at a fast rate. In parallel; specialized repositories are been developed; indexingnumerous clinical and biomedical tools. The main drawback of such repositories is thedifficulty in locating appropriate resources for a clinical or biomedical decision task;especially for non-Information Technology expert users. In parallel; although NLP researchin the clinical domain has been active since the 1960s; progress in the development of NLPapplications has been slow and lags behind progress in the general NLP domain. The aimof the present study is to investigate the use of semantics for biomedical resourcesannotation with domain specific ontologies and exploit Natural Language Processingmethods in empowering the non-Information Technology expert users to efficiently search …,BMC medical informatics and decision making,2015,6
Semantically-enabled Personal Medical Information Recommender.,Haridimos Kondylakis; Lefteris Koumakis; Maria Psaraki; Georgia Troullinou; Maria Chatzimina; Eleni Kazantzaki; Konstantinos Marias; Manolis Tsiknakis,Abstract. Word wide web has become the first choice of patients to inform themselves abouttheir disease; side effects and possible treatments. While patient's knowledge from internetis widely regarded as having a positive influence on the treatment; a lot of criticism exists forthe quality and the diversity of the available information. In this paper we demonstrate thePersonal Medical Information Recommender (PMIR); a semantically-enabled; intelligentplatform that empowers patients to search in a high quality set of web documents for relevantmedical knowledge. In addition; the platform automatically provides intelligent andpersonalized recommendations; according to the individual preferences and medicalconditions. To demonstrate the platform example patients will be used to show thefunctionality of the system. Then we will allow conference participants to directly interact …,International Semantic Web Conference (Posters & Demos),2015,5
Vision-based absence seizure detection,M Pediaditis; M Tsiknakis; L Koumakis; M Karachaliou; S Voutoufianakis; P Vorgia,In order to diagnose epilepsy; neurologists rely on their experience; performing an equalassessment of the electroencephalogram and the clinical image. Since misdiagnosisreaches a rate of 30% and more than one-third of all epilepsies are poorly understood; aneed for leveraging diagnostic precision is obvious. With the aim at enhancing the clinicalimage assessment procedure; this paper evaluates the suitability of certain facial expressionfeatures for detecting and quantifying absence seizures. These features are extracted bymeans of time-varying signal analysis from signals that are gained by applying computervision techniques; such as face detection; dense optical flow computation and averagingbackground subtraction. For the evaluation; video sequences of four patients with absenceseizures are used. The classification performance of a C4. 5 decision tree shows …,Engineering in Medicine and Biology Society (EMBC); 2012 Annual International Conference of the IEEE,2012,5
Modelling genetic susceptibility: a case study in periodontitis,VS Moustakis; ML Laine; L Koumakis; G Potamias; L Zampetakis; BG Loos,If you believe that digital publication of certain material infringes any of your rights or(privacy) interests; please let the Library know; stating your reasons. In case of a legitimatecomplaint; the Library will make the material inaccessible and/or remove it from the website.Please Ask the Library; or send a letter to: Library of the University of Amsterdam;Secretariat; Singel 425; 1012 WP Amsterdam; The Netherlands. You will be contacted as soonas possible.,*,2007,5
Standardized Data Sharing in a Paediatric Oncology Research Network-A Proof-of-Concept Study,Nina Hochedlinger; Michael Nitzlnader; Markus Falgenhauer; Stefan Welte; Dieter Hayn; Lefteris Koumakis; George Potamias; Manolis Tsiknakis; Davide Saraceno; Eugenia Rinaldi; Ruth Ladenstein; Günter Schreier,Abstract. Data that has been collected in the course of clinical trials are potentially valuablefor additional scientific research questions in so called secondary use scenarios. This is ofparticular importance in rare disease areas like paediatric oncology. If data from severalresearch projects need to be connected; so called Core Datasets can be used to definewhich information needs to be extracted from every involved source system. In this work; theutility of the Clinical Data Interchange Standards Consortium (CDISC) Operational DataModel (ODM) as a format for Core Datasets was evaluated and a web tool was developedwhich received Source ODM XML files and–via Extensible Stylesheet LanguageTransformation (XSLT)–generated standardized Core Dataset ODM XML files. Using thistool; data from different source systems were extracted and pooled for joined analysis in a …,Stud Health Technol Inform,2015,4
Integrating Microarray Data and GRNs,L Koumakis; G Potamias; M Tsiknakis; M Zervakis; V Moustakis,Abstract With the completion of the Human Genome Project and the emergence of high-throughput technologies; a vast amount of molecular and biological data are beingproduced. Two of the most important and significant data sources come from microarraygene-expression experiments and respective databanks (e; g.; Gene Expression Omnibus—GEO (http://www. ncbi. nlm. nih. gov/geo)); and from molecular pathways and GeneRegulatory Networks (GRNs) stored and curated in public (eg; Kyoto Encyclopedia of Genesand Genomes—KEGG (http://www. genome. jp/kegg/pathway. html); Reactome (http://www.reactome. org/ReactomeGWT/entrypoint. html)) as well as in commercial repositories (eg;Ingenuity IPA (http://www. ingenuity. com/products/ipa)). The association of these twosources aims to give new insight in disease understanding and reveal new molecular …,*,2015,4
Risk assessment models for diabetes complications: A survey of available online tools,Lefteris Koumakis; Franco Chiarugi; Vincenzo Lagani; Angelina Kouroubali; Ioannis Tsamardinos,Abstract Predictions; risk assessment and risk profiling are among the various decisionsupport techniques that medical professionals increasingly rely on to provide early diagnosein patients with elevated risks and to slow down the rapid increase in prevalence of chronicdiseases. The introduction of risk assessment tools and applications for chronic diseases inlarge scale longitudinal clinical studies; presents many challenges due to the nature of thedata (studies last around a decade) and the complexity of the models. In this paper; we givean overview of research work on risk assessment tools and applications for diabetescomplications. We also introduce the REACTION project and its vision in the field of riskassessment for diabetes complications.,International Conference on Wireless Mobile Communication and Healthcare,2011,4
Supporting Population Centred Medical Decision Making: Design Recommendations and Preliminary Assessment,G Potamias; L Koumakis; G Charissis; V Moustakis; M Tsiknakis; S Orphanoudakis,*,Proceedings of HCI Human Computer Interaction; Inclusive Design in the information Society,2003,4
MinePath: mining for phenotype differential sub-paths in molecular pathways,Lefteris Koumakis; Alexandros Kanterakis; Evgenia Kartsaki; Maria Chatzimina; Michalis Zervakis; Manolis Tsiknakis; Despoina Vassou; Dimitris Kafetzopoulos; Kostas Marias; Vassilis Moustakis; George Potamias,Pathway analysis methodologies couple traditional gene expression analysis withknowledge encoded in established molecular pathway networks; offering a promisingapproach towards the biological interpretation of phenotype differentiating genes. Earlypathway analysis methodologies; named as gene set analysis (GSA); view pathways just asplain lists of genes without taking into account either the underlying pathway networktopology or the involved gene regulatory relations. These approaches; even if they achievecomputational efficiency and simplicity; consider pathways that involve the same genes asequivalent in terms of their gene enrichment characteristics. Most recent pathway analysisapproaches take into account the underlying gene regulatory relations by examining theirconsistency with gene expression profiles and computing a score for each profile. Even …,PLoS computational biology,2016,3
Workflow-driven clinical decision support for personalized oncology,Anca Bucur; Jasper van Leeuwen; Nikolaos Christodoulou; Kamana Sigdel; Katerina Argyri; Lefteris Koumakis; Norbert Graf; Georgios Stamatakos,The adoption in oncology of Clinical Decision Support (CDS) may help clinical users toefficiently deal with the high complexity of the domain; lead to improved patient outcomes;and reduce the current knowledge gap between clinical research and practice. Whilesignificant effort has been invested in the implementation of CDS; the uptake in the clinic hasbeen limited. The barriers to adoption have been extensively discussed in the literature. Inoncology; current CDS solutions are not able to support the complex decisions required forstratification and personalized treatment of patients and to keep up with the high rate ofchange in therapeutic options and knowledge. To address these challenges; we propose aframework enabling efficient implementation of meaningful CDS that incorporates a largevariety of clinical knowledge models to bring to the clinic comprehensive solutions …,BMC medical informatics and decision making,2016,3
