Observation of room-temperature magnetic skyrmions and their current-driven dynamics in ultrathin metallic ferromagnets,Seonghoon Woo; Kai Litzius; Benjamin Krüger; Mi-Young Im; Lucas Caretta; Kornel Richter; Maxwell Mann; Andrea Krone; Robert M Reeve; Markus Weigand; Parnika Agrawal; Ivan Lemesh; Mohamad-Assaad Mawass; Peter Fischer; Mathias Kläui; Geoffrey SD Beach,Abstract Magnetic skyrmions 1; 2 are topologically protected spin textures that exhibitfascinating physical behaviours 1; 2; 3; 4; 5; 6 and large potential in highly energy-efficientspintronic device applications 7; 8; 9; 10; 11; 12; 13. The main obstacles so far are thatskyrmions have been observed in only a few exotic materials and at low temperatures 1; 2;3; 4; 6; 7; 8; and fast current-driven motion of individual skyrmions has not yet beenachieved. Here; we report the observation of stable magnetic skyrmions at room temperaturein ultrathin transition metal ferromagnets with magnetic transmission soft X-ray microscopy.We demonstrate the ability to generate stable skyrmion lattices and drive trains of individualskyrmions by short current pulses along a magnetic racetrack at speeds exceeding 100 ms−1 as required for applications. Our findings provide experimental evidence of recent …,Nature materials,2016,314
Direct imaging of stochastic domain-wall motion driven by nanosecond current pulses,Guido Meier; Markus Bolte; René Eiselt; Benjamin Krüger; Dong-Hyun Kim; Peter Fischer,Abstract Magnetic transmission x-ray microscopy is used to directly visualize the influence ofa spin-polarized current on domain walls in curved permalloy wires. Pulses of nanosecondduration and of high current density up to 1.0× 10 12 A/m 2 are used to move and to deformthe domain wall. The current pulse drives the wall either undisturbed; ie; as compositeparticle through the wire; or causes structural changes of the magnetization. Repetitive pulsemeasurements reveal the stochastic nature of current-induced domain-wall motion.,Physical review letters,2007,243
Demonstration of 12 nm resolution Fresnel zone plate lens based soft X-ray microscopy,Weilun Chao; Jihoon Kim; Senajith Rekawa; Peter Fischer; Erik H Anderson,To extend soft x-ray microscopy to a resolution of order 10 nm or better; we developed a newnanofabrication process for Fresnel zone plate lenses. The new process; based on thedouble patterning technique; has enabled us to fabricate high quality gold zone plates with12 nm outer zones. Testing of the zone plate with the full-field transmission x-raymicroscope; XM-1; in Berkeley; showed that the lens clearly resolved 12 nm lines andspaces. This result represents a significant step towards 10 nm resolution and beyond.,Optics Express,2009,237
High-resolution imaging of fast magnetization dynamics in magnetic nanostructures,Hermann Stoll; Aleksander Puzic; Bartel Van Waeyenberge; Peter Fischer; Joerg Raabe; Matthias Buess; Thomas Haug; Rainer Höllinger; Christian Back; Dieter Weiss; Gregory Denbeaux,By combining magnetic transmission x-ray microscopy with a stroboscopic pump and probetechnique using synchrotron radiation we are able to image the magnetization dynamics inmicron sized magnetic particles on a sub-100 ps time scale with a lateral spatial resolutiondown to 21 nm. We report first observations in squared elements indicating locally varyingprecessional frequencies which are in agreement with micromagnetic simulations. Theexperiment opens a route towards a high spatiotemporal resolution of spin patterns which isneeded to understand the microscopic origin of magnetization reversal of micron sized andnano-sized magnetic particles.,Applied Physics Letters,2004,159
Real space soft x-ray imaging at 10 nm spatial resolution,Weilun Chao; Peter Fischer; T Tyliszczak; Senajith Rekawa; Erik Anderson; Patrick Naulleau,Using Fresnel zone plates made with our robust nanofabrication processes; we havesuccessfully achieved 10 nm spatial resolution with soft x-ray microscopy. The result;obtained with both a conventional full-field and scanning soft x-ray microscope; marks asignificant step forward in extending the microscopy to truly nanoscale studies.,Optics express,2012,154
Magnetic soft x-ray microscopy at 15 nm resolution probing nanoscale local magnetic hysteresis,Dong-Hyun Kim; Peter Fischer; Weilun Chao; Erik Anderson; Mi-Young Im; Sung-Chul Shin; Sug-Bong Choe,Recent progress in x-ray optics has pushed the lateral resolution of soft x-ray magneticmicroscopy to below 15 nm. We have measured local magnetic hysteresis on a nanometerscale at the full-field x-ray microscope XM-1 at the Advanced Light Source in Berkeley;approaching fundamental length scales such as exchange lengths; Barkhausen lengths;and grain diameters. We have studied the evolution of magnetic domain patterns in ananogranular CoCrPt film with a pronounced perpendicular magnetic anisotropy andrevealed nanoscopic details associated with the granular film structure. From a quantitativeanalysis of the field-dependent magnetic domain patterns; we are able to generate localmagnetic hysteresis map on a nanometer scale. Our findings indicate a significant variationof local coercive fields corresponding to the nanoscopic behavior of magnetic domains.,Journal of applied physics,2006,134
Direct observation of stochastic domain-wall depinning in magnetic nanowires,Mi-Young Im; Lars Bocklage; Peter Fischer; Guido Meier,Abstract The stochastic field-driven depinning of a domain wall pinned at a notch in amagnetic nanowire is directly observed using magnetic x-ray microscopy with high lateralresolution down to 15 nm. The depinning-field distribution in Ni 80 Fe 20 nanowiresconsiderably depends on the wire width and the notch depth. The difference in themultiplicity of domain-wall types generated in the vicinity of a notch is responsible for theobserved dependence of the stochastic nature of the domain-wall depinning field on thewire width and the notch depth. Thus the random nature of the domain-wall depinningprocess is controllable by an appropriate design of the nanowire.,Physical review letters,2009,130
Imaging of magnetic domains with the X-ray microscope at BESSY using X-ray magnetic circular dichroism,P Fischer; G Schütz; G Schmahl; P Guttmann; D Raasch,Abstract X-ray Magnetic Circular Dichroism (X-MCD); ie the change of the absorption ofcircular polarized Xrays for reversed sample magnetization amounts at the L 2; 3-edges of3d transition metals up to 50% percent. This can be used to obtain in energy-dispersive X-ray imaging techniques a considerable; element-specific magnetic contrast. On the otherhand; with the transmission X-ray microscope (TXM) based on the zone-plate techniquespatial resolutions of 30 nm can be achieved. In this communication it is shown for the firsttime that the combination of the TXM with XMCD provides a huge contrast and is therefore apowerful new method to visualize in a quantitative and elementspecific manner magneticdomains. Using soft X-rays with a wavelength of 1: 7 nm corresponding to the energy of theFe L 3-edge the variation of the shape and magnetization of domains in a magneto …,Zeitschrift für Physik B Condensed Matter,1997,125
Universal criterion and phase diagram for switching a magnetic vortex core in soft magnetic nanodots,Ki-Suk Lee; Sang-Koog Kim; Young-Sang Yu; Youn-Seok Choi; Konstantin Yu Guslienko; Hyunsung Jung; Peter Fischer,Abstract The universal criterion for ultrafast vortex-core switching between the up-and down-core bistates in soft magnetic nanodots is investigated by micromagnetic simulations alongwith vortex-core switching that occurs whenever the velocity of vortex-core motion reachesits critical velocity; υ cri=(1.66±0.18) γ A ex (eg; υ cri= 330±37 m/s for Permalloy); with theexchange stiffness A ex and the gyromagnetic ratio γ. On the basis of the universality of υ cri;phase diagrams for the vortex-core switching event and switching time with respect to boththe amplitude and frequency of a circularly rotating magnetic field are calculated.,Physical review letters,2008,119
Soft X-ray microscopy of nanomagnetism,Peter Fischer; Dong-Hyun Kim; Weilun Chao; J Alexander Liddle; Erik H Anderson; David T Attwood,Magnetic materials with dimensions of a few tens of nanometers are important for thedevelopment of ultrahigh-density magnetic storage and sensor devices. Magneticmicrostructure largely determines functionality; and imaging of magnetic domains andmagnetization reversal behavior is an outstanding challenge. Magnetic X-ray microscopymakes it possible to investigate magnetization phenomena with elemental specificity andhigh spatial and temporal resolution.,Materials Today,2006,108
Magnetization reversal in cobalt antidot arrays,Laura J Heyderman; Frithjof Nolting; Dirk Backes; S Czekaj; Luis Lopez-Diaz; Mathias Kläui; Ulrich Rüdiger; Carlos AF Vaz; J Anthony C Bland; RJ Matelon; Ulrich G Volkmann; P Fischer,Abstract We have carried out a detailed study of the magnetic switching in square latticecobalt antidot arrays with periods ranging from 2 μ m down to 200 nm (antidot size= antidotseparation). Magneto-optical Kerr effect measurements show first a small change in themagnetization due to a reversible rotation of the magnetic spins in the antidot rows; followedby a large change due to reversal of the antidot array columns parallel to the applied field.Employing x-ray photoemission electron microscopy and transmission x-ray microscopy; thelatter irreversible process was observed as a nucleation and propagation of discrete domainchains. The propagating chain ends are blocked by perpendicular chains present in theantidot rows via various mechanisms revealed by micromagnetic simulations.,Physical Review B,2006,98
