TRUESET: Faster Verifiable Set Computations.,Ahmed E Kosba; Dimitrios Papadopoulos; Charalampos Papamanthou; Mahmoud F Sayed; Elaine Shi; Nikos Triandopoulos,Abstract Verifiable computation (VC) enables thin clients to efficiently verify thecomputational results produced by a powerful server. Although VC was initially consideredto be mainly of theoretical interest; over the last two years impressive progress has beenmade on implementing VC. Specifically; we now have open-source implementations of VCsystems that handle all classes of computations expressed either as circuits or in the RAMmodel. Despite this very encouraging progress; new enhancements in the design andimplementation of VC protocols are required to achieve truly practical VC for real-worldapplications. In this work; we show that for functions that can be expressed efficiently interms of set operations (eg; a subset of SQL queries) VC can be enhanced to becomedrastically more practical: We present the design and prototype implementation of a novel …,USENIX Security Symposium,2014,35
Verifiable Set Operations over Outsourced Databases,Ran Canetti; Omer Paneth; Dimitrios Papadopoulos; Nikos Triandopoulos,Abstract We study the problem of verifiable delegation of computation over outsourced data;whereby a powerful worker maintains a large data structure for a weak client in a verifiableway. Compared to the well-studied problem of verifiable computation; this setting imposesadditional difficulties since the verifier also needs to check the consistency of updatessuccinctly and without maintaining large state. We present a scheme for verifiable evaluationof hierarchical set operations (unions; intersections and set-differences) applied to acollection of dynamically changing sets of elements from a given domain. The verificationcost incurred is proportional only to the size of the final outcome set and to the size of thequery; and is independent of the cardinalities of the involved sets. The cost of updates isoptimal (involving O (1) modular operations per update). Our construction extends that of …,Public Key Cryptography 2014,2014,30
NSEC5: Provably Preventing DNSSEC Zone Enumeration,Sharon Goldberg; Moni Naor; Dimitrios Papadopoulos; Vasant Sachin Reyzin; Leonid; Asaf Ziv,Abstract—We use cryptographic techniques to study zone enumeration in DNSSEC.DNSSEC is designed to prevent attackers from tampering with domain name system (DNS)messages. The cryptographic machinery used in DNSSEC; however; also creates a newvulnerability; zone enumeration; enabling an adversary to use a small number of onlineDNSSEC queries combined with offline dictionary attacks to learn which domain names arepresent or absent in a DNS zone. We prove that the current DNSSEC standard; with NSECand NSEC3 records; inherently suffers from zone enumeration: specifically; we show thatsecurity against (1) attackers that tamper with DNS messages and (2) privacy against zoneenumeration cannot be satisfied simultaneously; unless the DNSSEC nameserver performsonline public-key cryptographic operations.,NDSS,2015,29
Practical Authenticated Pattern Matching with Optimal Proof Size,Dimitrios Papadopoulos; Charalampos Papamanthou; Roberto Tamassia; Nikolaos Triandopoulos,Abstract We address the problem of authenticating pattern matching queries over textualdata that is outsourced to an untrusted cloud server. By employing cryptographicaccumulators in a novel optimal integrity-checking tool built directly over a suffix tree; wedesign the first authenticated data structure for verifiable answers to pattern matchingqueries featuring fast generation of constant-size proofs. We present two main applicationsof our new construction to authenticate:(i) pattern matching queries over text documents; and(ii) exact path queries over XML documents. Answers to queries are verified by proofs of sizeat most 500 bytes for text pattern matching; and at most 243 bytes for exact path XML search;independently of the document or answer size. By design; our authentication schemes canalso be parallelized to offer extra efficiency during data outsourcing. We provide a …,PVLDB 2015,2015,12
TRUESET: Nearly Practical Verifiable Set Computations.,Ahmed E Kosba; Dimitrios Papadopoulos; Charalampos Papamanthou; Mahmoud F Sayed; Elaine Shi; Nikos Triandopoulos,*,IACR Cryptology ePrint Archive,2014,10
Taking Authenticated Range Queries to Arbitrary Dimensions,Dimitrios Papadopoulos; Stavros Papadopoulos; Nikos Triandopoulos,Abstract We study the problem of authenticated multi-dimensional range queries overoutsourced databases; where an owner outsources its database to an untrusted server;which maintains it and answers queries to clients. Previous schemes either scaleexponentially in the number of query dimensions; or rely on heuristic data structures withoutprovable bounds. Most importantly; existing work requires an exponential; in the databaseattributes; number of structures to support queries on every possible combination ofdimensions in the database. In this paper; we propose the first schemes that (i) scale linearlywith the number of dimensions; and (ii) support queries on any set of dimensions with linearin the number of attributes setup cost and storage. We achieve this through an elaboratefusion of novel and existing set-operation sub-protocols. We prove the security of our …,ACM Conference on Computer and Communications Security 2014,2014,10
Combining Traditional Map Labeling with Boundary Labeling,Michael Bekos; Michael Kaufmann; Dimitrios Papadopoulos; Antonios Symvonis,Abstract The traditional map labeling problems are mostly NP-hard. Hence; effectiveheuristics and approximations have been developed in the past. Recently; efficientalgorithms for the so-called boundary labeling model have been introduced which assumesthat the labels are placed on the boundary of the map and connected by polygonal leadersto their corresponding sites. Internal labels have been forbidden. In this paper; we allowboth. Since clearly internal labels should be preferred; we consider several maximizationproblems for the number of internal labels and we show that they can be obtained efficientlyor in quasi-polynomial time.,SOFSEM 2011,2011,9
vSQL: Verifying Arbitrary SQL Queries over Dynamic Outsourced Databases,Yupeng Zhang; Daniel Genkin; Jonathan Katz; Dimitrios Papadopoulos; Charalampos Papamanthou,*,*,*,7
vSQL: Verifying Arbitrary SQL Queries over Dynamic Outsourced Databases,Yupeng Zhang; Daniel Genkin; Jonathan Katz; Dimitrios Papadopoulos; Charalampos Papamanthou,*,*,*,7
Zero-Knowledge Accumulators and Set Algebra,Esha Ghosh; Olga Ohrimenko; Dimitrios Papadopoulos; Roberto Tamassia; Nikos Triandopoulos,Abstract Cryptographic accumulators allow to succinctly represent a set by an accumulationvalue with respect to which short (non-) membership proofs about the set can be efficientlyconstructed and verified. Traditionally; their security captures soundness but offers noprivacy: Convincing proofs reliably encode set membership; but they may well leakinformation about the accumulated set. In this paper we put forward a strong privacy-preserving enhancement by introducing and devising zero-knowledge accumulators thatadditionally provide hiding guarantees: Accumulation values and proofs leak nothing abouta dynamic set that evolves via element insertions/deletions. We formalize the new propertyusing the standard real-ideal paradigm; namely demanding that an adaptive adversary withaccess to query/update oracles; cannot tell whether he interacts with honest protocol …,International Conference on the Theory and Application of Cryptology and Information Security,2016,6
NSEC5 from Elliptic Curves: Provably Preventing DNSSEC Zone Enumeration with Shorter Responses.,Sharon Goldberg; Moni Naor; Dimitrios Papadopoulos; Leonid Reyzin,Abstract: While DNSSEC securely provides authenticity and integrity to the domain namesystem (DNS); it also creates a new security vulnerability called zone enumeration thatallows an adversary that asks a small number of targeted DNS queries to learn the IPaddresses of all domain names in a zone. An enumerated zone can be used as''a source ofprobable e-mail addresses for spam; or as a key for multiple WHOIS queries to revealregistrant data that many registries may have legal obligations to protect''[RFC 5155](eg; perEU data protection laws); or to create a toehold for more complex attacks. As the Internet ofthings becomes increasingly ubiquitous; it also becomes increasingly important to keep thenames and addresses of these''things''(eg; thermostats; fridges; baby monitors) away fromremote attackers. In previous work we solved DNSSEC's zone enumeration problem by …,IACR Cryptology ePrint Archive,2016,3
