Are mid-latitude slopes sensitive to climatic oscillations? Implications from an Early Holocene sequence of slope deposits and buried soils from eastern Germany,Stefan Dreibrodt; Johanna Lomax; Oliver Nelle; Carolin Lubos; Peter Fischer; Andrey Mitusov; Stefan Reiss; Ulrich Radtke; Marie Nadeau; Pieter Meiert Grootes; Hans-Rudolf Bork,Abstract On a straight slope within the lake catchment of Kleiner Tornowsee (Brandenburg;Germany) a sequence of slope sediments has been deposited during the Late Glacial; theEarly Holocene and around cal 4.2 ka before today; 800; 500 and 300 years ago. Thechronology is based on 21 radiocarbon dates and 11 OSL dates and a deposition modelincluding the numerical data as well as stratigraphic information has been calculated withOxCal 4.1. A comparison of the woody taxa of charcoal particles (n= 566) embedded withinthe sediments with the known regional vegetation history confirmed the reliability of thedates. According to the age; volume and distribution the deposition of the Early Holocenesediments at ca. 10.3 kyrs; ca. 9.5 kyrs and ca. 8.2 to 7.7 kyrs before today strongly suggestsan influence of known climatic deteriorations phases on geomorphologic processes. Cold …,Geomorphology,2010,38
Buried dark soil horizons and archaeological features in the Neolithic settlement region of the Lower Rhine area; NW Germany: formation; geochemistry and chrono...,R Gerlach; P Fischer; E Eckmeier; A Hilgers,Abstract The properties and age of buried humic and clay-rich dark soil remains (Bht-horizons and pits) at archaeological excavations in the Lower Rhine Basin (NW Germany)were investigated. These Bht-features were formerly described as a component of LuvicPhaeozems and as relics of chernozemic soils. Field observations challenge thisinterpretation. The Bht-horizons in the Lower Rhine Basin occur in a patchy distributionindependent of relief position and climatic condition; and they are mostly connected withartefact-free but human-made pits (off-site features) consisting of the same Bht-material. Thepresence of charred organic matter (pyrogenic carbon) and its radiocarbon ages suggestedthat these Bht-horizons are not relics of naturally formed soils but rather archaeologicalfeatures. Pyrogenic carbon; produced during agricultural burning practices (eg slash and …,Quaternary international,2012,31
Influence of HCl pretreatment and organo-mineral complexes on laser diffraction measurement of loess–paleosol-sequences,Philipp Schulte; Frank Lehmkuhl; Florian Steininger; David Loibl; Gregori Lockot; Jens Protze; Peter Fischer; Georg Stauch,Abstract The influence of different sample pretreatment methods on grain size distributionsin particle size analysis has been subject to controversial discussions. Standard samplepreparation typically comprises the disaggregation of aggregated and agglomeratedparticles into single primary particles; ie; the organic binding material is oxidized byhydrogen peroxide (H 2 O 2) and the contained carbonates are dissolved by hydrochloricacid (HCl). The aim of this study is to evaluate the effects of HCl treatment on grain sizeanalyses of Late Pleistocene and Holocene loess–paleosol-sequences investigated by aBeckman Coulter LS 13320 laser particle analyzer. For this purpose; samples from twodifferent sections with different weathering degrees and sedimentary genesis weremeasured:(1) the Suohuoduo section on the northeastern fringe of the Tibetan Plateau …,Catena,2016,27
Formation and geochronology of Last Interglacial to Lower Weichselian loess/palaeosol sequences–case studies from the Lower Rhine Embayment; Germany,Peter Fischer; Alexandra Hilgers; Jens Protze; Holger Kels; Frank Lehmkuhl; Renate Gerlach,Abstract: Located in the Lower Rhine area two loess/palaeosol sections were investigatedfocusing on the last Interglacial to Lower Weichselian pedosedimentary sequence. Thesections are situated in the brown coal opencast mining area of Inden and Garzweiler; andcomprise archaeological find layers from the Middle Palaeolithic. Selected ratios derivedfrom multi-element analysis are presented for the first time for the prominent loessaccumulation area north of the Rhenish Shield. In addition luminescence ages weredetermined based on isothermal thermoluminescence (ITL) and optically stimulatedluminescence (OSL) using the quartz mineral fraction. The results indicate multiple sedimentredeposition and polygenetic soil formation for both sections displaying a complex formationof the investigated sequences. Due to the polygenetic character of the loess/palaeosol …,Eiszeitalter und Gegenwart Quaternary Science Journal,2012,20
From point to area: upscaling approaches for late quaternary archaeological and environmental data,Manuela Schlummer; Thomas Hoffmann; Richard Dikau; Michael Eickmeier; Peter Fischer; Renate Gerlach; Jörg Holzkämper; Arie J Kalis; Inga Kretschmer; Franziska Lauer; Andreas Maier; Janina Meesenburg; Jutta Meurers-Balke; Ulla Münch; Stefan Pätzold; Florian Steininger; Astrid Stobbe; Andreas Zimmermann,Abstract The study of past socio-environmental systems integrates a variety of terrestrialarchives. To understand regional or continental socio-environmental interactions proxy datafrom local archives need to be transferred to larger spatial scales. System properties likespatial heterogeneity; historical and spatial contingency; nonlinearity; scale dependency oremergence make generalizations from local observations to larger scales difficult. As theseare common properties of natural and social systems; the development of aninterdisciplinary upscaling framework for socio-environmental systems remains a challenge.For example; the integration of social and environmental data is often hindered by divergentmethodological; ie qualitative and quantitative; approaches and discipline-specificperceptions of spatial scales. Additionally; joint approaches can be hampered by …,*,2014,18
Palaeotsunami impact on the ancient harbour site Kyllini (western Peloponnese; Greece) based on a geomorphological multi-proxy approach,Hanna Hadler; Kalliopi Baika; Jari Pakkanen; Dionysios Evangelistis; Kurt Emde; Peter Fischer; Konstantin Ntageretzis; Björn Röbke; Timo Willershäuser; Andreas Vött,Geoscientific and geoarchaeological studies carried out at the ancient harbour site of Kyllini(western Peloponnese; Greece) revealed distinct evidence of repeated tsunami landfall.Located in the westernmost part of the Peloponnese; the Kyllini harbour site is situated at anarrow stretch of coastal lowland along the northeastern edge of Cape Kyllini. Directlyexposed to the Ionian Sea and the Hellenic Trench; the harbour holds a considerably highrisk for tsunami events and thus represents a valuable geo-archive for palaeotsunamiresearch. While the inner harbour basin is merely preserved as a near-coast swamp;partially submerged installations like moles; quays; breakwaters and towers clearly definethe outer harbour basin. Geoscientific studies carried out at the Kyllini harbour sitecomprised on-shore and coastal vibracor-ing; sedimentological; geochemical and …,Zeitschrift für Geomorphologie; Supplementary Issues,2015,14
A sequence of fluvial and aeolian deposits (desert loess) and palaeosoils covering the last 60 ka in the Opuwo basin (Kaokoland/Kunene Region; Namibia) based o...,E Brunotte; B Maurer; P Fischer; J Lomax; H Sander,Abstract Arid and semi-arid areas are lacking in fossils for the reconstruction of theQuaternary climate. Therefore; sediments from ephemeral rivers are a welcome climaticarchive in Namibia. Restrictions concerning the palaeoclimatic evidence lie in the fact thatthe sediments examined usually reflect the climate of the upper reaches of the rivers ratherthan the local climate. The upper reaches may belong to a different climatic zone or (damp)altitudinal zone of vegetation. In order to rule out such allochthonous influences in the studyof the climatic history of the escarpments between the edge of the Namib Desert and thesavannah; research is limited to sediments in basins and valley floors which are not subjectto such influences. Research in the Opuwo basin has extended knowledge of the recentQuaternary climatic history of northern Namibia into the period since ca. 60 ka. The …,Quaternary International,2009,14
Holocene surface ruptures of the Rurrand fault; Germany—Insights from palaeoseismology; remote sensing and shallow geophysics,Christoph Grützner; Peter Fischer; Klaus Reicherter,Abstract The Lower Rhine Embayment in Central Europe hosts a rift system that has verylow deformation rates. The faults in this area have slip rates of less than 0.1 mm yr− 1; whichdoes not allow to investigate ongoing tectonic deformation with geodetic techniques; unlessthey cover very long time spans. Instrumental seismicity does only cover a small fraction ofthe very long earthquake recurrence intervals of several thousands of years.Palaeoseismological studies are needed to constrain slip rates and the earthquake historyof such faults. Destructive earthquakes are rare in the study area; but did occur in historictimes. In 1755/1756; a series of strong earthquakes caused significant destruction in the cityof Düren (Germany) and the surrounding areas. In this study we documentpalaeoseismological data from the nearby Rurrand Fault. In contrast to earlier studies on …,Geophysical Journal International,2016,13
Temple-complex post-dates tsunami deposits found in the ancient harbour basin of Ostia (Rome; Italy),Hanna Hadler; Andreas Vött; Peter Fischer; Stefanie Ludwig; Michael Heinzelmann; Corinna Rohn,Abstract Detailed geophysical and geoarchaeological investigations carried out in Ostia;ancient harbour of Rome; revealed two different generations of harbour basins and alsoproved the repeated impact of high-energy wave events on the study area. West of Ostia; atthe southern bank of the Tiber; a lagoonal harbour existed from the 4 th and 2 nd cent. BCbut was affected by strong siltation. At the same site; a river harbour was subsequentlyestablished from the 1 st cent. AD onwards. Fluvial deposits of medieval age finallydocument Tiber river bank erosion affecting the abandoned site. Within the sedimentaryrecord; distinct high-energy event deposits were found and seem to be related to tsunamiimpact that hit the ancient harbour site. Event I occurred prior to the harbour foundationbetween the 8 th and 5 th cent. BC and induced significant environmental changes. Event …,Journal of Archaeological Science,2015,13
Geo-scientific evidence of tsunami impact in the Gulf of Kyparissia (western Peloponnese; Greece),Timo Willershäuser; Andreas Vött; Hanna Hadler; Peter Fischer; Björn Röbke; Konstantin Ntageretzis; Kurt Emde; Helmut Brückner,In this study; we present geo-scientific evidence of repeated tsunami impact on the coastallow-lands of the Gulf of Kyparissia between Cape Katakolo and Lake Kaiafa. As known fromliterature and previous geo-scientific studies along the coasts of the eastern Ionian Sea;tsunami influence in the area is a strong and dominant factor in the overall coastal evolution.We combined sedimentological; geomor-phological and geophysical studies withgeochemical and micropalaeontological analyses to reconstruct the palaeoenvironmentalevolution of the former Mouria Lagoon near Aghios Ioannis and adjacent areas; namelyaround Kato Samiko and the former Agoulenitsa Lagoon. Our main objective was to look fortraces of palaeotsunami impact with the sedimentary records of different coastal geo-archives. In the area of the former Mouria Lagoon we found four distinct allochthonous …,Zeitschrift für Geomorphologie; Supplementary Issues,2015,12
Zur mittel-und jungquartären Relief-und Bodenentwicklung der nordwestlichen Kölner Bucht-Detailuntersuchungen der lössbedeckten Mittelterrassenlandschaft,Peter Fischer,In der vorliegenden Arbeit wird die mittel-und jungquartäre Relief-und Bodenentwicklungder nordwestlichen Kölner Bucht am Beispiel eines Ausschnitts der lössbedecktenMittelterrassenlandschaft untersucht. Dabei wird die geomorphologische Betrachtung desReliefs in einen Gesamtlandschaftskontext gestellt; wobei neben der pleistozänenLandschaftsentwicklung auch die postglaziale Genese unter zunehmender Einflussnahmedes Menschen und damit der Wandel von der Natur-zur Kulturlandschaft berücksichtigt wird.Die Reliefformen bilden unter Einbeziehung des lithostratigraphischen und pedologischenAufbaus des oberflächennahen Untergrundes die Basis der Untersuchungen. In diesemVerständnis spiegelt sich in den Reliefformen eine mehrphasige und polygenetischeFormung wider und sie stellen somit Archive der Landschaftsgenese dar. Ihr Aufbau wird …,*,2009,12
