A graphical query language supporting recursion,Isabel F Cruz; Alberto O Mendelzon; Peter T Wood,Abstract We define a language G for querying data represented as a labeled graph G. Byconsidering G as a relation; this graphical query language can be viewed as a relationalquery language; and its expressive power can be compared to that of other relational querylanguages. We do not propose G as an alternative to general purpose relational querylanguages; but rather as a complementary language in which recursive queries are simpleto formulate. The user is aided in this formulation by means of a graphical interface. Theprovision of regular expressions in G allows recursive queries more general than transitiveclosure to be posed; although the language is not as powerful as those based on function-free Horn clauses. However; we hope to be able to exploit well-known graph algorithms inevaluating recursive queries efficiently; a topic which has received widespread attention …,ACM SIGMOD Record,1987,284
AgreementMaker: efficient matching for large real-world schemas and ontologies,Isabel F Cruz; Flavio Palandri Antonelli; Cosmin Stroe,Abstract We present the AgreementMaker system for matching real-world schemas andontologies; which may consist of hundreds or even thousands of concepts. The end users ofthe system are sophisticated domain experts whose needs have driven the design andimplementation of the system: they require a responsive; powerful; and extensibleframework to perform; evaluate; and compare matching methods. The system comprises awide range of matching methods addressing different levels of granularity of the componentsbeing matched (conceptual vs. structural); the amount of user intervention that they require(manual vs. automatic); their usage (stand-alone vs. composed); and the types ofcomponents to consider (schema only or schema and instances). Performancemeasurements (recall; precision; and runtime) are supported by the system; along with …,Proceedings of the VLDB Endowment,2009,248
Strategic directions in human-computer interaction,Brad Myers; Jim Hollan; Isabel Cruz; Steve Bryson; Dick Bulterman; Tiziana Catarci; Wayne Citrin; Ephraim Glinert; Jonathan Grudin; Yannis Ioannidis,Human-computer interaction (HCI) is the study of how people design; implement; and useinteractive computer systems and how computers affect individuals; organizations; andsociety. This encompasses not only ease of use but also new interaction techniques forsupporting user tasks; providing better access to information; and creating more powerfulforms of communication. It involves input and output devices and the interaction techniquesthat use them; how information is presented and requested; how the computer's actions arecontrolled and monitored; all forms of help; documentation; and training; the tools used todesign; build; test; and evaluate user interfaces; and the processes that developers followwhen creating interfaces.,ACM Computing Surveys (CSUR),1996,237
An ontology-based framework for XML semantic integration,IR Cruz; Huiyong Xiao; Feihong Hsu,XML is becoming the standard for data interchange on the Web. However; XML and itsschema languages do not express semantics but rather structure; such as nestinginformation. Therefore; semantically equivalent documents often present different documentstructures. We provide an ontology-based framework that aims to make two XML documentsintemperate at the semantic level while retaining their nesting structure. In our global-as-view approach; we generate an RDF ontology for each of the participating XML documents;which preserves the nesting structure of the document. An RDF global ontology is the resultof merging the individual ontologies. The global ontology unifies the query access andestablishes semantic connections among the underlying individual databases. We considertwo types of queries: those that are posed on the global ontology and those that are …,Database Engineering and Applications Symposium; 2004. IDEAS'04. Proceedings. International,2004,151
G^+: Recursive Queries Without Recursion,IF Curz,CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索 …,Proc. of 12th Int'l Conf. on Expert Database Systems; 1988,1988,141
The role of ontologies in data integration,Isabel F Cruz; Huiyong Xiao,Abstract In this paper; we discuss the use of ontologies for data integration. We consider twodifferent settings depending on the system architecture: central and peer-to-peer dataintegration. Within those settings; we discuss five different cases studies that illustrate theuse of ontologies in metadata representation; in global conceptualization; in high-levelquerying; in declarative mediation; and in mapping support. Each case study is described indetail and accompanied by examples.,Engineering intelligent systems for electrical engineering and communications,2005,139
DOODLE: a visual language for object-oriented databases,Isabel F Cruz,Abstract In this paper we introduce DOODLE; a new visual and declarative language forobject-oriented databases. The main principle behind the language is that it is possible todisplay and query the database with arbitrary pictures. We allow the user to tailor the displayof the data to suit the application at hand or her preferences. We want the user-definedvisualizations to be stored in the database; and the language to express all kinds of visualmanipulations. For extendibility reasons; the language is object-oriented. The semantics ofthe language is given by a well-known deductive query language for object-orienteddatabases. We hope that the formal basis of our language will contribute to the theoreticalstudy of database visualizations and visual query languages; a subject that we believe is ofgreat interest; but largely left unexplored.,ACM SIGMOD Record,1992,129
The agreementmakerlight ontology matching system,Daniel Faria; Catia Pesquita; Emanuel Santos; Matteo Palmonari; Isabel F Cruz; Francisco M Couto,Abstract AgreementMaker is one of the leading ontology matching systems; thanks to itscombination of a flexible and extensible framework with a comprehensive user interface. Inmany domains; such as the biomedical; ontologies are becoming increasingly large thuspresenting new challenges. We have developed a new core framework;AgreementMakerLight; focused on computational efficiency and designed to handle verylarge ontologies; while preserving most of the flexibility and extensibility of the originalAgreementMaker framework. We evaluated the efficiency of AgreementMakerLight in twoOAEI tracks: Anatomy and Large Biomedical Ontologies; obtaining excellent run time results.In addition; for the Anatomy track; AgreementMakerLight is now the best system asmeasured in terms of F-measure. Also in terms of F-measure; AgreementMakerLight is …,OTM Confederated International Conferences" On the Move to Meaningful Internet Systems",2013,102
Continuous probabilistic nearest-neighbor queries for uncertain trajectories,Goce Trajcevski; Roberto Tamassia; Hui Ding; Peter Scheuermann; Isabel F Cruz,Abstract This work addresses the problem of processing continuous nearest neighbor (NN)queries for moving objects trajectories when the exact position of a given object at aparticular time instant is not known; but is bounded by an uncertainty region. As has alreadybeen observed in the literature; the answers to continuous NN-queries in spatio-temporalsettings are time parameterized in the sense that the objects in the answer vary over time.Incorporating uncertainty in the model yields additional attributes that affect the semantics ofthe answer to this type of queries. In this work; we formalize the impact of uncertainty on theanswers to the continuous probabilistic NN-queries; provide a compact structure for theirrepresentation and efficient algorithms for constructing that structure. We also identifysyntactic constructs for several qualitative variants of continuous probabilistic NN-queries …,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,88
A role and attribute based access control system using semantic web technologies,Lorenzo Cirio; Isabel F Cruz; Roberto Tamassia,Abstract We show how Semantic Web technologies can be used to build an access controlsystem. We follow the role-based access control approach (RBAC) and extend it withcontextual attributes. Our approach provides for the dynamic association of roles with users.A Description Logic (DL) reasoner is used to classify both users and resources; and verifythe consistency of the access control policies. We mitigate the limited expressive power ofthe DL formalism by refining the output of the DL reasoner with SPARQL queries. Finally; weprovide a proof-of-concept implementation of the system written in Java. TM,OTM Confederated International Conferences" On the Move to Meaningful Internet Systems",2007,77
Structural alignment methods with applications to geospatial ontologies,Isabel F Cruz; William Sunna,Abstract We consider the problem of enabling interoperability and information sharingamong geospatial applications that use ontologies to describe their concepts and therelationships among them. We present two fully automatic alignment methods that use thegraph structures of a pair of ontologies to establish their alignment; that is; the semanticcorrespondences between their concepts. We have tested our methods on geospatialontologies pertaining to wetlands and four other pairs that belong to a repository that hasbeen used in the Ontology Alignment Evaluation Initiative (OAEI). Using these ontologies;we have compared the effectiveness (precision and recall) of our methods against theSimilarity Flooding Algorithm that was proposed by others and show that for each of thetested ontologies one of our methods is at least as effective as their method. We have …,Transactions in GIS,2008,76
Report from the first workshop on geo sensor networks,Silvia Nittel; Anthony Stefanidis; I Cruz; M Egenhofer; D Goldin; A Howard; Alexandros Labrinidis; Samuel Madden; Agnès Voisard; M Worboys,Advances in sensor technology and deployment strategies are revolutionizing the way thatgeospatial information is collected and analyzed. For example; cameras and GPS sensorson-board static or mobile platforms have the ability to provide continuous streams ofgeospatiallyrich information. Furthermore; with the advent of nanotechnology it becomesfeasible and economically viable to develop and deploy low-cost; low-power devices thatare general-purpose computing platforms with multi-purpose on-board sensing and wirelesscommunications capabilities. Today; research efforts are taking place developinginfrastructure for systems consisting of large numbers of small unattended; untethered andcollaborative sensor nodes that have non-renewable power supply and communicate viashort range radio frequency with neighboring nodes. These types of sensors may also act …,ACM SIGMOD Record,2004,73
Efficient selection of mappings and automatic quality-driven combination of matching methods,Isabel F Cruz; Flavio Palandri Antonelli; Cosmin Stroe,Abstract. The AgreementMaker system for ontology matching includes an extensiblearchitecture that facilitates the integration and performance tuning of a variety of matchingmethods; an evaluation mechanism; which can make use of a reference matching or relysolely on “inherent” quality measures; and a multi-purpose user interface; which drives boththe matching methods and the evaluation strategies. In this paper; we focus on two mainfeatures of AgreementMaker. The former is an optimized method that performs the selectionof mappings given the similarities between entities computed by any matching algorithm; athreshold value; and the desired cardinalities of the mappings. Experiments show that ourmethod is more efficient than the typically adopted combinatorial method. The latter is theevaluation framework; which includes three “inherent” quality measures that can be used …,Proceedings of the 4th International Conference on Ontology Matching-Volume 551,2009,72
Handling semantic heterogeneities using declarative agreements,Isabel F Cruz; Afsheen Rajendran; William Sunna; Nancy Wiegand,Abstract The focus of this paper is on interoperability issues to achieve data integration indistributed databases for geographic applications. Our concrete application is in the contextof the State of Wisconsin Land Information System (WLIS). In WLIS; data is stored in XMLusing independently maintained local databases. However; answers to many queries mustspan several databases. Our approach is based on the existence of a central ontology andon declarative transformations; called\it agreements; between the schemas of the localdatabases and the central ontology. Using our approach; end users can seamlessly queryand aggregate semantically related data that is available throughout the state using a visualinterface. An expert at the site of the local database uses another visual interface to specifythe agreement between that database and the ontology. Our approach has been fully …,Proceedings of the 10th ACM international symposium on Advances in geographic information systems,2002,72
A visual tool for ontology alignment to enable geospatial interoperability,Isabel F Cruz; William Sunna; Nalin Makar; Sujan Bathala,Abstract In distributed geospatial applications with heterogeneous databases; an ontology-driven approach to data integration relies on the alignment of the concepts of a globalontology that describe the domain; with the concepts of the ontologies that describe the datain the distributed databases. Once the alignment between the global ontology and eachdistributed ontology is established; agreements that encode a variety of mappings betweenconcepts are derived. In this way; users can potentially query hundreds of geospatialdatabases using a single query. Using our approach; querying can be easily extended tonew data sources and; therefore; to new regions. In this paper; we describe theAgreementMaker; a tool that displays the ontologies; supports several mapping layersvisually; presents automatically generated mappings; and finally produces the …,Journal of Visual Languages & Computing,2007,71
3d graph drawing with simulated annealing,Isabel F Cruz; Joseph P Twarog,Abstract A recent trend in graph drawing is directed to the visualization of graphs in 3D [1; 5;6]. A promising research direction concerns the extension of proven 2D techniques to 3D.We present a system extending the simulated annealing algorithm of Davidson and Harel [2]for straight-line two-dimensional drawings of general undirected graphs to three dimensions.This system features an advanced 3D user interface that assists the user in choosing andmodifying the cost function and the optimization components on-line.,International Symposium on Graph Drawing,1995,67
Semi-automatic ontology alignment for geospatial data integration,Isabel F Cruz; William Sunna; Anjli Chaudhry,Abstract In geospatial applications with heterogeneous databases; an ontology-drivenapproach to data integration relies on the alignment of the concepts of a global ontology thatdescribe the domain; with the concepts of the ontologies that describe the data in the localdatabases. Once the alignment between the global ontology and each local ontology isestablished; users can potentially query hundreds of databases using a single query thathides the underlying heterogeneities. Using our approach; querying can be easily extendedto a new data source by aligning a local ontology with the global one. For this purpose; wehave designed and implemented a tool to align ontologies. The output of this tool is a set ofmappings between concepts; which will be used to produce the queries to the localdatabases once a query is formulated on the global ontology. To facilitate the user's task …,International Conference on Geographic Information Science,2004,66
Visualizing queries and querying visualizations,Mariano P Consens; Isabel F Cruz; Alberto O Mendelzon,Suppose you are flipping channels on a TV set and flip into the middle of a film that you haveseen before. Most people can; within a few seconds; identify the film; recall the title and mainactors; and predict what is going to happen next. Alan Kay [Kay91] gives this example toshow the remarkable powers of storage and retrieval of visual information that humanbeings have. We may perhaps one day be able to duplicate some of this power in ourcomputing machines; although the challenges are enormous; in the meantime; computersystems that manage; retrieve and manipulate information should be designed to play to thestrengths of human information processing capabilities. Presenting information visuallywhenever possible is one obvious way of doing this. Visual displays of quantitativeinformation have of course been used for centuries in the physical and social sciences …,ACM Sigmod Record,1992,62
Using agreement maker to align ontologies for OAEI 2009: overview; results; and outlook,Isabel F Cruz; Flavio Palandri Antonelli; Cosmin Stroe; Ulas C Keles; Angela Maduko,Abstract. This paper describes our participation in the Ontology Alignment EvaluationInitiative (OAEI) 2009 with the AgreementMaker system for ontology matching; in which weobtained excellent results. In particular; we participated in the benchmarks; anatomy; andconference tracks. In the anatomy track; we competed against nine other systems in all foursubtracks obtaining the best result in subtrack 3 and the second best result in subtracks 1and 2. We were also first in finding the highest number of non-trivial correspondences.Furthermore; AgreementMaker came in first place among seven participants in theconference track and achieved the highest precision among all thirteeen participatingsystems in the benchmarks track. In addition to presenting this year's results; we give anoverview of the AgreementMaker system; discuss ways in which we plan to further …,Proceedings of the 4th International Conference on Ontology Matching-Volume 551,2009,61
Peer-to-peer semantic integration of XML and RDF data sources,Isabel F Cruz; Huiyong Xiao; Feihong Hsu,Abstract Peer-to-Peer (P2P) data management systems combine traditional schema-basedintegration techniques with the P2P infrastructure. In this paper; we propose a P2P datamanagement framework named PEPSINT that semantically integrates heterogeneous XMLand RDF data sources; using a hybrid architecture and a global-as-view approach. Ourfocus is on the query processing techniques over heterogeneous data. Queries in PEPSINTare expressed in XQuery and in RDQL. We consider two types of queries; depending onwhether the query is first posed on the super peer or on one of the peers.,International Workshop on Agents and P2P Computing,2004,61
Aggregative closure: An extension of transitive closure,Isabel F Cruz; Theodore S Norvell,The aggregative closure operator is defined and its usefulness is demonstrated in a widevariety of applications. The concepts and definitions of closed semirings and theaggregating relational operators provide a mathematical framework for the presentation ofalgorithms for these applications. A novel algorithm is also presented which is intended forthe computation of the aggregate closure. All of these algorithms but the last aregeneralizations of existing algorithms intended for transitive closure.,Data Engineering; 1989. Proceedings. Fifth International Conference on,1989,54
Knowledge-based Intelligent Information and Engineering Systems: 10th International Conference; KES 2006; Bournemouth; UK; 09-11.10. 2006: Proceedings,Lakhmi C Jain,*,*,2006,50
A multi-ontology approach for personal information management,Huiyong Xiao; Isabel F Cruz,Abstract. The increasingly huge volume of personal information stored in a desktopcomputer is characterized by disparate models; unstructured contents; and implicitknowledge. Aiming at a semantic rich environment; a number of Semantic Desktopframeworks have been proposed; concentrating on different aspects; including organization;manipulation; and visualization of the data. In this paper; we propose a layered andsemantic ontology-based framework for personal information management; and we discussits annotations; associations; and navigation. We also discuss query processing in twocases: query rewriting in a single personal information application; PIA; and that betweentwo PIAs.,Proceedings of the 2005 International Conference on Semantic Desktop Workshop: Next Generation Information Management D Collaboration Infrastructure-Volume 175,2005,50
Algorithm animation over the world wide web,James E Baker; Isabel F Cruz; Giuseppe Liotta; Roberto Tamassia,Abstract In this paper we propose a new model; called Mocha; for providing algorithmanimation over the World Wide Web. Mocha is a distributed model with a client-serverarchitecture that optimally partitions the software components of a typical algorithmanimation system; and leverages the power of the Java language; an emerging standard fordistributing interactive platform-independent applications across the Web. Mocha provideshigh levels of security; protects the algorithm code; places a light communication load on theInternet; and allows users with limited computing resources to access animations ofcomputationally expensive algorithms. The user interface combines fast responsiveness anduser friendliness with the powerful authoring capabilities of hypertext narratives. Wedescribe the architecture of Mocha and show its advantages over previous methods for …,Proceedings of the workshop on Advanced visual interfaces,1996,50
Graph drawing tutorial,Isabel F Cruz; Roberto Tamassia,Page 1. Graph Drawing 0 Graph Drawing Tutorial Isabel F. Cruz Worcester Polytechnic InstituteRoberto Tamassia Brown University Page 2. Graph Drawing 1 Introduction Page 3. Graph Drawing2 Graph Drawing s models; algorithms; and systems for the visualization of graphs and networkss applications to software engineering (class hierarchies); database systems (ER- diagrams); projectmanagement (PERT diagrams); knowledge representation (isa hierarchies); telecommunications(ring covers); WWW (browsing history) ... 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 2122 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 5152 53 54 55 56 57 58 59 60 61 62 63 Page 4. Graph Drawing 3 orthogonal drawing bend DrawingConventions s general constraints on the geometric representation of vertices and edges polylinedrawing planar straight-line drawing Page 5 …,URL: www. cs. brown. edu/rt/papers/gd-tutorial/gd-constraints. pdf,1998,49
