How is the weather tomorrow?: towards a benchmark for the cloud,Carsten Binnig; Donald Kossmann; Tim Kraska; Simon Loesing,Abstract Traditionally; the goal of benchmarking a software system is to evaluate itsperformance under a particular workload for a fixed configuration. The most prominentexamples for evaluating transactional database systems as well as other components on top(such as a application-servers or web-servers) are the various TPC benchmarks. In thispaper we argue that traditional benchmarks (like the TPC benchmarks) are not sufficient foranalyzing the novel cloud services. Moreover; we present some initial ideas how such a newbenchmark should look like that fits better to the characteristics of cloud computing (eg;scalability; pay-per-use and fault-tolerance). The main challenge of such a new benchmarkis to make the reported results comparable because different providers offer differentservices with different capabilities and guarantees.,Proceedings of the Second International Workshop on Testing Database Systems,2009,180
Dictionary-based order-preserving string compression for main memory column stores,Carsten Binnig; Stefan Hildenbrand; Franz Färber,Abstract Column-oriented database systems [19; 23] perform better than traditional row-oriented database systems on analytical workloads such as those found in decision supportand business intelligence applications. Moreover; recent work [1; 24] has shown thatlightweight compression schemes significantly improve the query processing performance ofthese systems. One such a lightweight compression scheme is to use a dictionary in order toreplace long (variable-length) values of a certain domain with shorter (fixedlength) integercodes. In order to further improve expensive query operations such as sorting andsearching; column-stores often use order-preserving compression schemes. In contrast tothe existing work; in this paper we argue that orderpreserving dictionary compression doesnot only pay off for attributes with a small fixed domain size but also for long string …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,120
Reverse query processing,Carsten Binnig; Donald Kossmann; Eric Lo,Generating databases for testing database applications (eg; OLAP or business objects) is adaunting task in practice. There are a number of commercial tools to automatically generatetest databases. These tools take a database schema (table layouts plus integrity constraints)and table sizes as input in order to generate new tuples. However; the databases generatedby these tools are not adequate for testing a database application. If an application query isexecuted against such a synthetic database; then the result of that application query is likelyto be empty or contain weird results; such as a report on the performance of a sales personthat contains negative sales. To solve this problem; this paper proposes a new techniquecalled reverse query processing (RQP). RQP gets a query and a result as input and returnsa possible database instance that could have produced that result for that query. RQP …,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,120
QAGen: generating query-aware test databases,Carsten Binnig; Donald Kossmann; Eric Lo; M Tamer Özsu,Abstract Today; a common methodology for testing a database management system (DBMS)is to generate a set of test databases and then execute queries on top of them. However; forDBMS testing; it would be a big advantage if we can control the input and/or the output (eg;the cardinality) of each individual operator of a test query for a particular test case.Unfortunately; current database generators generate databases independent of queries. Asa result; it is hard to guarantee that executing the test query on the generated test databasescan obtain the desired (intermediate) query results that match the test case. In this paper; wepropose a novel way for DBMS testing. Instead of first generating a test database and thenseeing how well it matches a particular test case (or otherwise use a trial-and-errorapproach to generate another test database); we propose to generate a query-aware …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,108
An architecture for compiling udf-centric workflows,Andrew Crotty; Alex Galakatos; Kayhan Dursun; Tim Kraska; Carsten Binnig; Ugur Cetintemel; Stan Zdonik,Abstract Data analytics has recently grown to include increasingly sophisticated techniques;such as machine learning and advanced statistics. Users frequently express these complexanalytics tasks as workflows of user-defined functions (UDFs) that specify each algorithmicstep. However; given typical hardware configurations and dataset sizes; the core challengeof complex analytics is no longer sheer data volume but rather the computation itself; andthe next generation of analytics frameworks must focus on optimizing for this computationbottleneck. While query compilation has gained widespread popularity as a way to tackle thecomputation bottleneck for traditional SQL workloads; relatively little work addresses UDF-centric workflows in the domain of complex analytics. In this paper; we describe a novelarchitecture for automatically compiling workflows of UDFs. We also propose several …,Proceedings of the VLDB Endowment,2015,32
Multi-RQP: generating test databases for the functional testing of OLTP applications,Carsten Binnig; Donald Kossmann; Eric Lo,Abstract OLTP applications usually implement use cases which execute a sequence ofactions whereas each action usually reads or updates only a small set of tuples in thedatabase. In order to automatically test the correctness of the different execution paths of theuse cases implemented by an OLTP application; a set of test cases and test databasesneeds to be created. In this paper; we suggest that a tester specifies a test databaseindividually for each test case using SQL as a declarative test database specificationlanguage. Moreover; we also discuss the design of a database generator which creates atest database based on such a specification. Consequently; our approach allows togenerate a tailor-made test database for each test case and to bundle them together for thetest case execution phase.,Proceedings of the 1st international workshop on Testing database systems,2008,29
The end of slow networks: It's time for a redesign,Carsten Binnig; Andrew Crotty; Alex Galakatos; Tim Kraska; Erfan Zamanian,Abstract The next generation of high-performance networks with remote direct memoryaccess (RDMA) capabilities requires a fundamental rethinking of the design of distributed in-memory DBMSs. These systems are commonly built under the assumption that the networkis the primary bottleneck and should be avoided at all costs; but this assumption no longerholds. For instance; with InfiniBand FDR 4×; the bandwidth available to transfer data acrossthe network is in the same ballpark as the bandwidth of one memory channel. Moreover;RDMA transfer latencies continue to rapidly improve as well. In this paper; we first argue thattraditional distributed DBMS architectures cannot take full advantage of high-performancenetworks and suggest a new architecture to address this problem. Then; we discuss initialresults from a prototype implementation of our proposed architecture for OLTP and OLAP …,Proceedings of the VLDB Endowment,2016,28
RODI: A benchmark for automatic mapping generation in relational-to-ontology data integration,Christoph Pinkel; Carsten Binnig; Ernesto Jiménez-Ruiz; Wolfgang May; Dominique Ritze; Martin G Skjæveland; Alessandro Solimando; Evgeny Kharlamov,Abstract A major challenge in information management today is the integration of hugeamounts of data distributed across multiple data sources. A suggested approach to thisproblem is ontology-based data integration where legacy data systems are integrated via acommon ontology that represents a unified global view over all data sources. However; datais often not natively born using these ontologies. Instead; much data resides in legacyrelational databases. Therefore; mappings that relate the legacy relational data sources tothe ontology need to be constructed. Recent techniques and systems that automaticallyconstruct such mappings have been developed. The quality metrics of these systems are;however; often only based on self-designed benchmarks. This paper introduces a newpublicly available benchmarking suite called RODI; which is designed to cover a wide …,European Semantic Web Conference,2015,26
Testing database applications,Carsten Binnig; Donald Kossmann; Eric Lo,Abstract Testing database application is challenging because most methods and toolsdeveloped for application testing do not consider the database state during the test. In thispaper we demonstrate three different tools for testing database applications: HTDGen;HTTrace and HTPar. HTDGen generates meaningful test databases for databaseapplications. HTTrace executes database applications testing efficiently and HTPar extendsHTTrace to run tests in parallel.,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,26
IncMap: pay as you go matching of relational schemata to OWL ontologies.,Christoph Pinkel; Carsten Binnig; Evgeny Kharlamov; Peter Haase,Abstract. Ontology Based Data Access (OBDA) enables access to relational data with acomplex structure through ontologies as conceptual domain models. A key component of anOBDA system are mappings between the schematic elements in the ontology and theircorrespondences in the relational schema. Today; in existing OBDA systems thesemappings typically need to be compiled by hand; which is a complex and labor intensivetask. In this paper we address the problem of creating such mappings and present IncMap; asystem that supports a semi-automatic approach for matching relational schemata andontologies. Our approach is based on a novel matching technique that represents theschematic elements of an ontology and a relational schema in a unified way. IncMap isdesigned to work in a query-driven; pay as you go fashion and leverages partial; user …,OM,2013,25
IncMap: pay as you go matching of relational schemata to OWL ontologies.,Christoph Pinkel; Carsten Binnig; Evgeny Kharlamov; Peter Haase,Abstract. Ontology Based Data Access (OBDA) enables access to relational data with acomplex structure through ontologies as conceptual domain models. A key component of anOBDA system are mappings between the schematic elements in the ontology and theircorrespondences in the relational schema. Today; in existing OBDA systems thesemappings typically need to be compiled by hand; which is a complex and labor intensivetask. In this paper we address the problem of creating such mappings and present IncMap; asystem that supports a semi-automatic approach for matching relational schemata andontologies. Our approach is based on a novel matching technique that represents theschematic elements of an ontology and a relational schema in a unified way. IncMap isdesigned to work in a query-driven; pay as you go fashion and leverages partial; user …,OM,2013,25
A framework for testing DBMS features,Eric Lo; Carsten Binnig; Donald Kossmann; M Tamer Özsu; Wing-Kai Hon,Abstract Testing a specific feature of a DBMS requires controlling the inputs and outputs ofthe operators in the query execution plan. However; that is practically difficult to achievebecause the inputs/outputs of a query depend on the content of the test database. In thispaper; we propose a framework to test DBMS features. The framework includes a databasegenerator called QAGen so that the generated test databases are able to meet the testrequirements defined on the test queries. The framework also includes a set of tools toautomate test case constructions and test executions. A wide range of DBMS feature testingtasks can be facilitated by the proposed framework.,The VLDB Journal,2010,25
How to best find a partner? An evaluation of editing approaches to construct R2RML mappings,Christoph Pinkel; Carsten Binnig; Peter Haase; Clemens Martin; Kunal Sengupta; Johannes Trame,Abstract R2RML defines a language to express mappings from relational data to RDF. Thatway; applications built on top of the W3C Semantic Technology stack can seamlesslyintegrate relational data. A major obstacle to using R2RML; though; is the effort for manuallycurating the mappings. In particular in scenarios that aim to map data from huge andcomplex relational schemata (eg;[5]) to more abstract ontologies efficient ways to support themapping creation are needed. In previous work we presented a mapping editor that aims toreduce the human effort in mapping creation [12]. While assisting users in mappingconstruction the editor imposed a fixed editing approach; which turned out to be not optimalfor all users and all kinds of mapping tasks. Most prominently; it is unclear on which of thetwo data models users should best start with the mapping construction. In this paper; we …,European Semantic Web Conference,2014,22
Query Processing on Encrypted Data in the Cloud by,Stefan Hildenbrand; Donald Kossmann; Tahmineh Sanamrad; Carsten Binnig; Franz Faerber; Johannes Woehler,Abstract—This paper explores a new encryption technique called POP. POP addresses theneed to encrypt databases in the cloud and to execute complex SQL queries on theencrypted data efficiently. POP can be configured to meet different privacy requirements andattacker scenarios. Two such scenarios; referred to as domain attack and frequency attack;are studied in detail in this paper. Privacy and performance experiments conducted usingthe TPC-H benchmark show that POP makes it indeed possible to achieve good privacy withaffordable performance overheads in many cases.,Technical report,2011,22
Vizdom: Interactive analytics through pen and touch,Andrew Crotty; Alex Galakatos; Emanuel Zgraggen; Carsten Binnig; Tim Kraska,Abstract Machine learning (ML) and advanced statistics are important tools for drawinginsights from large datasets. However; these techniques often require human intervention tosteer computation towards meaningful results. In this demo; we present V izdom; a newsystem for interactive analytics through pen and touch. V izdom's frontend allows users tovisually compose complex workflows of ML and statistics operators on an interactivewhiteboard; and the back-end leverages recent advances in workflow compilationtechniques to run these computations at interactive speeds. Additionally; we are exploringapproximation techniques for quickly visualizing partial results that incrementally refine overtime. This demo will show V izdom's capabilities by allowing users to interactively buildcomplex analytics workflows using real-world datasets.,Proceedings of the VLDB Endowment,2015,21
Towards Automatic Test Database Generation.,Carsten Binnig; Donald Kossmann; Eric Lo,Abstract Testing is one of the most expensive and time consuming activities in the softwaredevelopment cycle. In order to reduce the cost and the time to market; many approaches toautomate certain testing tasks have been devised. Nevertheless; a great deal of testing isstill carried out manually. This paper gives an overview of different testing scenarios andshows how database techniques (eg; declarative specifications and logical dataindependence) can help to optimize the generation of test databases.,IEEE Data Eng. Bull.,2008,19
