High weight fraction surfactant solubilization of single-wall carbon nanotubes in water,MF Islam; E Rojas; DM Bergey; AT Johnson; AG Yodh,We report a simple process to solubilize high weight fraction single-wall carbon nanotubesin water by the nonspecific physical adsorption of sodium dodecylbenzene sulfonate. Thediameter distribution of nanotubes in the dispersion; measured by atomic force microscopy;showed that even at 20 mg/mL∼ 63±5% of single-wall carbon nanotube bundles exfoliatedinto single tubes. A measure of the length distribution of the nanotubes showed that ourdispersion technique reduced nanotube fragmentation.,Nano letters,2003,1861
Carbon nanotube composites for thermal management,MJ Biercuk; Mark C Llaguno; M Radosavljevic; JK Hyun; Alan T Johnson; John E Fischer,Single-wall carbon nanotubes (SWNTs) were used to augment the thermal transportproperties of industrial epoxy. Samples loaded with 1 wt% unpurified SWNT materialshowed a 70% increase in thermal conductivity at 40 K; rising to 125% at room temperature;the enhancement due to 1 wt% loading of vapor grown carbon fibers was three timessmaller. Electrical conductivity data showed a percolation threshold between 0.1 and 0.2wt% SWNT loading. The Vickers hardness rose monotonically with SWNT loading up to afactor of 3.5 at 2 wt%. These results suggest that the thermal and mechanical properties ofSWNT-epoxy composites are improved; without the need to chemically functionalize thenanotubes.,Applied physics letters,2002,1849
Electrical and thermal transport properties of magnetically aligned single wall carbon nanotube films,J Hone; MC Llaguno; NM Nemes; AT Johnson; JE Fischer; DA Walters; MJ Casavant; J Schmidt; RE Smalley,Dense; thick films of aligned single wall carbon nanotubes and nanotube ropes have beenproduced by filtration/deposition from suspension in strong magnetic fields. Electricalresistivity exhibits moderate anisotropy with respect to the alignment axis; while thethermopower is the same when measured parallel or perpendicular to this axis. Bothparameters have identical temperature dependencies in the two orientations. Thermalconductivity in the parallel direction exceeds 200 W/mK; within a decade of graphite.,Applied physics letters,2000,894
Intrinsic response of graphene vapor sensors,Yaping Dan; Ye Lu; Nicholas J Kybert; Zhengtang Luo; AT Charlie Johnson,Graphene is a two-dimensional material with extremely favorable chemical sensorproperties. Conventional nanolithography typically leaves a resist residue on the graphenesurface; whose impact on the sensor characteristics has not yet been determined. Here weshow that the contamination layer chemically dopes the graphene; enhances carrierscattering; and acts as an absorbent layer that concentrates analyte molecules at thegraphene surface; thereby enhancing the sensor response. We demonstrate a cleaningprocess that verifiably removes the contamination on the device structure and allows theintrinsic chemical responses of the graphene monolayer to be measured. These intrinsicresponses are surprisingly small; even upon exposure to strong analytes such as ammoniavapor.,Nano letters,2009,785
DNA translocation through graphene nanopores,Christopher A Merchant; Ken Healy; Meni Wanunu; Vishva Ray; Neil Peterman; John Bartel; Michael D Fischbein; Kimberly Venta; Zhengtang Luo; AT Charlie Johnson; Marija Drndic,We report on DNA translocations through nanopores created in graphene membranes.Devices consist of 1− 5 nm thick graphene membranes with electron-beam sculptednanopores from 5 to 10 nm in diameter. Due to the thin nature of the graphene membranes;we observe larger blocked currents than for traditional solid-state nanopores. However; ioniccurrent noise levels are several orders of magnitude larger than those for silicon nitridenanopores. These fluctuations are reduced with the atomic-layer deposition of 5 nm oftitanium dioxide over the device. Unlike traditional solid-state nanopore materials that areinsulating; graphene is an excellent electrical conductor. Use of graphene as a membranematerial opens the door to a new class of nanopore devices in which electronic sensing andcontrol are performed directly at the pore.,Nano letters,2010,642
Electrostatically-generated nanofibers of electronic polymers,AG MacDiarmid; WE Jones; ID Norris; J Gao; AT Johnson; NJ Pinto; J Hone; B Han; FK Ko; H Okuzaki; M Llaguno,Abstract Long nanofibers of conducting electronic polymers and their blends and alsoconventional polymers are conveniently fabricated in air by a non-mechanical electrostaticdispersion method. All fibers in a given preparation of certain polymers have diameters<lOOnm. Fibers of 100% doped polyaniline as well as its blends in polymers such aspolystyrene and polyethylene oxide have been prepared. Current/voltage in addition toconductivity/temperature relationships of single fibers as small as 419 nm have beenobtained. Polyacrylonitrile and polystyrene fibers can be easily and uniformly coated fromaqueous solution with conducting polypyrrole or with gold by electroless deposition.Polyacrylonitrile fibers can be thermally converted to conducting carbon nanofibers.,Synthetic Metals,2001,590
Quantized current in a quantum-dot turnstile using oscillating tunnel barriers,LP Kouwenhoven; AT Johnson; NC Van der Vaart; CJPM Harmans; Cf T Foxon,Abstract We have observed a quantized current in a lateral quantum dot; defined by metalgates in the two-dimensional electron gas (2DEG) of a GaAs/AlGaAs heterostructure. Bymodulating the tunnel barriers in the 2DEG with two phase-shifted rf signals; and employingthe Coulomb blockade of electron tunneling; we produced quantized current plateaus in thecurrent-voltage characteristics at integer multiples of ef; where f is the rf frequency. Thisdemonstrates that an integer number of electrons pass through the quantum dot each rfcycle.,Physical Review Letters,1991,563
Quantized phonon spectrum of single-wall carbon nanotubes,J Hone; B Batlogg; Z Benes; AT Johnson; JE Fischer,The electronic spectra of carbon nanotubes and other nanoscale systems are quantizedbecause of their small radii. Similar quantization in the phonon spectra has been difficult toobserve because of the far smaller energy scale. We probed this regime by measuring thetemperature-dependent specific heat of purified single-wall nanotubes. The data show directevidence of one-dimensional quantized phonon subbands. Above 4 kelvin; they are inexcellent agreement with model calculations of individual nanotubes and differ markedlyfrom the specific heat of two-dimensional graphene or three-dimensional graphite. Detailedmodeling yields an energy of 4.3 millielectron volts for the lowest quantized phononsubband and a tube-tube (or “lattice”) Debye energy of 1.1 millielectron volts; implying asmall intertube coupling in bundles.,Science,2000,541
DNA-decorated carbon nanotubes for chemical sensing,Cristian Staii; Alan T Johnson; Michelle Chen; Alan Gelperin,We demonstrate a new; versatile class of nanoscale chemical sensors based on single-stranded DNA (ss-DNA) as the chemical recognition site and single-walled carbon nanotubefield effect transistors (swCN-FETs) as the electronic read-out component. swCN-FETs witha nanoscale coating of ss-DNA respond to gas odors that do not cause a detectableconductivity change in bare devices. Responses of ss-DNA/swCN-FETs differ in sign andmagnitude for different gases and can be tuned by choosing the base sequence of the ss-DNA. ss-DNA/swCN-FET sensors detect a variety of odors; with rapid response andrecovery times on the scale of seconds. The sensor surface is self-regenerating: samplesmaintain a constant response with no need for sensor refreshing through at least 50 gasexposure cycles. This remarkable set of attributes makes sensors based on ss-DNA …,Nano Letters,2005,535
High yield preparation of macroscopic graphene oxide membranes,Zhengtang Luo; Ye Lu; Luke A Somers; AT Charlie Johnson,Graphene oxide membranes up to 2000 μm2 in size can be synthesized with 90% yield inbulk quantities through a microwave-assisted chemical method. Membranes are readilyvisualized on an oxidized silicon substrate; which enables efficient fabrication of electronicdevices and sensors. Field effect transistors made of the membrane show ambipolarbehavior; and their conductivity is significantly higher than previously reported values.,Journal of the American Chemical Society,2009,471
Crystallographic etching of few-layer graphene,Sujit S Datta; Douglas R Strachan; Samuel M Khamis; AT Charlie Johnson,We demonstrate a method by which few-layer graphene samples can be etched alongcrystallographic axes by thermally activated metallic nanoparticles. The technique results inlong (> 1 μm) crystallographic edges etched through to the insulating substrate; making theprocess potentially useful for atomically precise graphene device fabrication. This advancecould enable atomically precise construction of integrated circuits from single graphenesheets with a wide range of technological applications.,Nano letters,2008,465
